City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
266,Ulverstone,AU,-41.15,146.1667,66.29,93,100,5.88,moderate rain
267,Molokovo,RU,58.1661,36.7628,45.72,73,100,15.12,overcast clouds
268,Gisborne,NZ,-38.6533,178.0042,57.94,93,100,5.08,moderate rain
269,Northam,GB,51.0333,-4.2167,53.1,83,97,10.36,overcast clouds
270,Byron Bay,AU,-28.65,153.6167,74.05,84,88,7.25,overcast clouds
271,Karratha,AU,-20.7377,116.8463,87.82,31,8,4.56,clear sky
272,Businga,CD,3.3333,20.8833,70.27,97,100,1.61,light rain
273,Maine-Soroa,NE,13.2114,12.0241,80.91,13,100,8.9,overcast clouds
274,Namibe,AO,-15.1961,12.1522,65.93,86,95,5.91,overcast clouds
275,Aklavik,CA,68.2191,-135.0107,20.12,97,100,6.17,overcast clouds
276,Piacabucu,BR,-10.4056,-36.4344,78.69,84,98,10.02,overcast clouds
277,Kushiro,JP,42.975,144.3747,46.31,79,99,4.5,overcast clouds
278,Isangel,VU,-19.55,169.2667,77.22,76,92,13.56,overcast clouds
279,Naze,JP,28.3667,129.4833,64.76,89,100,14.92,overcast clouds
280,Roald,NO,62.5833,6.1333,44.91,70,75,17.27,broken clouds
281,Kizlyar,RU,43.8469,46.715,49.62,65,10,20.6,clear sky
282,Narsaq,GL,60.9167,-46.05,26.82,92,89,7.11,overcast clouds
283,Aden,YE,12.7794,45.0367,81.82,55,51,7.14,broken clouds
284,Iseyin,NG,7.9667,3.6,73.63,90,98,4.36,overcast clouds
285,Mumford,GH,5.2618,-0.759,78.66,84,100,6.6,overcast clouds
286,Yartsevo,RU,55.0667,32.6964,42.94,83,100,12.12,overcast clouds
287,Batalha,BR,-9.6778,-37.1247,79.88,68,76,4.12,broken clouds
288,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.79,64,40,6.71,scattered clouds
289,Bubaque,GW,11.2833,-15.8333,83.53,74,11,6.76,light rain
290,Knysna,ZA,-34.0363,23.0471,56.66,83,25,1.68,scattered clouds
291,Catuday,PH,16.2923,119.8062,82.04,73,12,7.25,few clouds
292,Hirara,JP,24.8,125.2833,78.96,77,88,15.95,overcast clouds
293,Tadine,NC,-21.55,167.8833,73.04,59,100,12.24,overcast clouds
294,El Reno,US,35.5323,-97.955,53.28,82,1,0.0,clear sky
295,Inongo,CD,-1.95,18.2667,71.31,95,94,3.22,overcast clouds
296,Mount Gambier,AU,-37.8333,140.7667,58.64,98,100,9.13,moderate rain
297,Oranjemund,NA,-28.55,16.4333,58.17,91,75,10.96,broken clouds
298,Wajima,JP,37.4,136.9,61.25,56,2,8.68,clear sky
299,Dossor,KZ,47.5272,52.9811,28.92,48,1,11.56,clear sky
300,Necochea,AR,-38.5473,-58.7368,49.03,64,100,9.55,overcast clouds
301,Beringovskiy,RU,63.05,179.3167,2.55,81,1,5.14,clear sky
302,Balaipungut,ID,1.05,101.2833,75.61,92,100,1.1,overcast clouds
303,Aleksandrov Gay,RU,50.147,48.5704,33.13,50,21,11.5,few clouds
304,Vardo,NO,70.3705,31.1107,35.85,99,100,10.74,overcast clouds
305,Caxito,AO,-8.5785,13.6643,77.65,88,100,2.48,overcast clouds
306,Port Arthur,CN,38.8,121.2667,59.92,81,3,11.12,clear sky
307,Yefremov,RU,53.1481,38.0992,54.59,92,100,16.28,overcast clouds
308,Jha Jha,IN,24.7667,86.3667,64.63,67,9,4.36,clear sky
309,Chernyshevskiy,RU,63.0128,112.4714,11.52,90,100,12.06,overcast clouds
310,Phuket,TH,8.0,98.25,85.08,89,20,1.14,few clouds
311,Deputatskiy,RU,69.3,139.9,6.19,92,100,3.06,overcast clouds
312,Kapaa,US,22.0752,-159.319,82.38,74,20,1.99,light rain
313,Kayes,ML,14.0,-11.0,84.29,40,27,2.57,scattered clouds
314,Yumen,CN,40.2833,97.2,13.15,67,98,13.53,overcast clouds
315,Great Yarmouth,GB,52.6083,1.7305,50.25,94,100,13.09,overcast clouds
316,Caronport,CA,50.4501,-105.8179,46.69,54,0,6.26,clear sky
317,Dunedin,NZ,-45.8742,170.5036,57.79,66,88,17.0,overcast clouds
318,Gat,IL,31.61,34.7642,72.39,55,0,4.76,clear sky
319,Tabou,CI,4.423,-7.3528,78.31,87,90,7.45,light rain
320,Kwinana,AU,-32.25,115.7667,64.24,58,100,7.94,overcast clouds
321,Clyde River,CA,70.4692,-68.5914,12.51,95,96,6.93,overcast clouds
322,Jalu,LY,29.0331,21.5482,70.7,38,0,6.73,clear sky
323,Hualmay,PE,-11.0964,-77.6139,64.44,86,80,9.31,broken clouds
324,Ilulissat,GL,69.2167,-51.1,23.02,50,20,12.66,few clouds
325,Cherskiy,RU,68.75,161.3,2.8,88,99,9.08,overcast clouds
326,Sola,VU,-13.8833,167.55,78.58,70,100,2.8,overcast clouds
